Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_102983,E12_E1S3,NeuB,16309,18648
E12_E1S3_102988,E12_E1S3,GluNeuB,16305,18176
E12_E1S3_102995,E12_E1S3,GlioB,16300,18627
E12_E1S3_102996,E12_E1S3,Ery,16313,18769
E12_E1S3_103008,E12_E1S3,RGC,16310,18568
E12_E1S3_103018,E12_E1S3,RGC,16308,18397
E12_E1S3_103019,E12_E1S3,GlioB,16313,18672
E12_E1S3_103041,E12_E1S3,GABA,16314,18077
E12_E1S3_103050,E12_E1S3,RGC,16314,18304
E12_E1S3_103051,E12_E1S3,RGC,16307,18335
E12_E1S3_103085,E12_E1S3,GluNeuB,16319,18693
E12_E1S3_103091,E12_E1S3,Basal,16319,18510
E12_E1S3_103120,E12_E1S3,RGC,16320,18364
E12_E1S3_103147,E12_E1S3,NeuB,16329,18535
E12_E1S3_103160,E12_E1S3,RGC,16329,18205
E12_E1S3_103161,E12_E1S3,RGC,16320,18584
E12_E1S3_103162,E12_E1S3,NeuB,16325.5,18647
E12_E1S3_103179,E12_E1S3,NeuB,16328,18399
E12_E1S3_103195,E12_E1S3,RGC,16340,18241
E12_E1S3_103208,E12_E1S3,GluNeu,16329,18080
E12_E1S3_103209,E12_E1S3,GlioB,16330,18628
E12_E1S3_103217,E12_E1S3,RGC,16333,18265
E12_E1S3_103224,E12_E1S3,GlioB,16335,18672
E12_E1S3_103225,E12_E1S3,RGC,16342,18686
E12_E1S3_103231,E12_E1S3,Fibro,16323,18753
E12_E1S3_103234,E12_E1S3,RGC,16334,18327
E12_E1S3_103235,E12_E1S3,RGC,16330,18417
E12_E1S3_103239,E12_E1S3,GlioB,16325,18609
E12_E1S3_103247,E12_E1S3,RGC,16324,18287
E12_E1S3_103258,E12_E1S3,Endo,16339,18886
E12_E1S3_103277,E12_E1S3,RGC,16346,18178
E12_E1S3_103305,E12_E1S3,Ery,16345,18773
E12_E1S3_103314,E12_E1S3,GlioB,16333,18714
E12_E1S3_103315,E12_E1S3,Endo,16347,18793
E12_E1S3_103319,E12_E1S3,RGC,16342,18641
E12_E1S3_103337,E12_E1S3,GluNeuB,16339,18735
E12_E1S3_103354,E12_E1S3,GluNeuB,16344,18142
E12_E1S3_103368,E12_E1S3,GluNeuB,16345,18374
E12_E1S3_103377,E12_E1S3,RGC,16352,18220
E12_E1S3_103385,E12_E1S3,RGC,16348,18416
E12_E1S3_103400,E12_E1S3,RGC,16354,18309
E12_E1S3_103402,E12_E1S3,Endo,16354,18860
E12_E1S3_103417,E12_E1S3,NeuB,16352,18394
E12_E1S3_103450,E12_E1S3,GlioB,16357,18280
E12_E1S3_103468,E12_E1S3,GluNeuB,16366,18118
E12_E1S3_103477,E12_E1S3,Basal,16360,18690
E12_E1S3_103485,E12_E1S3,Ery,16365,18799
E12_E1S3_103494,E12_E1S3,RGC,16366,18448
E12_E1S3_103505,E12_E1S3,RGC,16362,18630
E12_E1S3_103518,E12_E1S3,RGC,16361,18352
E12_E1S3_103519,E12_E1S3,RGC,16366,18707
E12_E1S3_103533,E12_E1S3,NeuB,16371,18254
E12_E1S3_103553,E12_E1S3,Fibro,16372,18907
E12_E1S3_103562,E12_E1S3,GABA,16372,18076
E12_E1S3_103563,E12_E1S3,RGC,16379,18092
E12_E1S3_103581,E12_E1S3,RGC,16369,18755
E12_E1S3_103585,E12_E1S3,NeuB,16370,18595
E12_E1S3_103593,E12_E1S3,GluNeu,16368,18049
E12_E1S3_103594,E12_E1S3,RGC,16372,18189
E12_E1S3_103595,E12_E1S3,GlioB,16376,18659
E12_E1S3_103608,E12_E1S3,RGC,16376,18415
E12_E1S3_103617,E12_E1S3,Ery,16372,18009
E12_E1S3_103618,E12_E1S3,RGC,16373,18505
E12_E1S3_103622,E12_E1S3,GlioB,16376,18481
E12_E1S3_103635,E12_E1S3,GlioB,16376,18361
E12_E1S3_103664,E12_E1S3,GlioB,16395,18689
E12_E1S3_103677,E12_E1S3,Fibro,16383,18788
E12_E1S3_103688,E12_E1S3,RGC,16385,18429
E12_E1S3_103700,E12_E1S3,GluNeuB,16381,18033
E12_E1S3_103701,E12_E1S3,RGC,16394,18120
E12_E1S3_103709,E12_E1S3,RGC,16399,18163
E12_E1S3_103717,E12_E1S3,NeuB,16383,18138
E12_E1S3_103718,E12_E1S3,NeuB,16386,18315
E12_E1S3_103719,E12_E1S3,GlioB,16390,18340
E12_E1S3_103720,E12_E1S3,NeuB,16373,18728
